,title,artists,album,length
0,Mood (feat. Iann Dior),"24kGoldn, iann dior",Mood (feat. Iann Dior),2:20
1,Holy (feat. Chance The Rapper),"Justin Bieber, Chance the Rapper",Holy,3:32
2,FRANCHISE (feat. Young Thug & M.I.A.),"Travis Scott, Young Thug, M.I.A.",FRANCHISE (feat. Young Thug & M.I.A.),3:22
3,Head & Heart (feat. MNEK),"Joel Corry, MNEK",Head & Heart (feat. MNEK),2:46
4,you broke me first,Tate McRae,you broke me first,2:49
5,Lemonade,"Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)",3:15
6,Laugh Now Cry Later (feat. Lil Durk),"Drake, Lil Durk",Laugh Now Cry Later (feat. Lil Durk),4:21
7,WAP (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion),3:07
8,Dynamite,BTS,Dynamite,3:19
9,Breaking Me,"Topic, A7S",Breaking Me,2:46
10,For The Night (feat. Lil Baby & DaBaby),"Pop Smoke, Lil Baby, DaBaby",Shoot For The Stars Aim For The Moon,3:10
11,Watermelon Sugar,Harry Styles,Fine Line,2:54
12,Take You Dancing,Jason Derulo,Take You Dancing,3:10
13,Better,ZAYN,Better,2:54
14,Diamonds,Sam Smith,Diamonds,3:33
15,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,3:01
16,Midnight Sky,Miley Cyrus,Midnight Sky,3:43
17,my ex's best friend (with blackbear),"Machine Gun Kelly, blackbear",my ex's best friend (with blackbear),2:18
18,What You Know Bout Love,Pop Smoke,Shoot For The Stars Aim For The Moon,2:40
19,POPSTAR (feat. Drake),"DJ Khaled, Drake",POPSTAR (feat. Drake),3:20
20,Me Gusta (with Cardi B & Myke Towers),"Anitta, Myke Towers, Cardi B",Me Gusta (with Cardi B & Myke Towers),3:00
21,Go Crazy,"Chris Brown, Young Thug",Slime & B,2:56
22,Put Your Records On,Ritt Momney,Put Your Records On,3:30
23,OK Not To Be OK,"Marshmello, Demi Lovato",OK Not To Be OK,2:39
24,Your Man,Joji,Nectar,2:43
25,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),2:51
26,Mad at Disney,salem ilese,Mad at Disney,2:16
27,Heather,Conan Gray,Kid Krow,3:18
28,Come & Go (with Marshmello),"Juice WRLD, Marshmello",Legends Never Die,3:25
29,Ice Cream (with Selena Gomez),"BLACKPINK, Selena Gomez",Ice Cream (with Selena Gomez),2:55
30,Kings & Queens,Ava Max,Kings & Queens,2:42
31,Be Like That - feat. Swae Lee & Khalid,"Kane Brown, Swae Lee, Khalid",Be Like That (feat. Swae Lee & Khalid),3:11
32,Hawái,Maluma,Hawái,3:20
33,Tick Tock (feat. 24kGoldn),"Clean Bandit, Mabel, 24kGoldn",Tick Tock (feat. 24kGoldn),2:58
34,Wolves (feat. Post Malone),"Big Sean, Post Malone",Detroit 2,3:19
35,Still Don't Know My Name,Labrinth,Euphoria (Original Score from the HBO Series),2:33
36,UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Tainy, Dua Lipa, Bad Bunny",UN DIA (ONE DAY) (Feat. Tainy),3:52
37,Jerusalema (feat. Nomcebo Zikode),"Master KG, Nomcebo Zikode",Jerusalema,5:42
38,Over Now (with The Weeknd),"Calvin Harris, The Weeknd",Over Now (with The Weeknd),3:30
39,Wishing Well,Juice WRLD,Legends Never Die,3:14
40,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
41,Break My Heart,Dua Lipa,Break My Heart,3:41
42,Tap In,Saweetie,Tap In,2:19
43,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,3:48
44,Control,Zoe Wees,Control,3:50
45,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow, Tory Lanez, DaBaby, Lil Wayne","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",3:47
46,Stunnin',"Curtis Waters, Harm Franklin",Stunnin',2:24
47,feel something,Bea Miller,feel something,3:00
48,my future,Billie Eilish,my future,3:28
49,cardigan,Taylor Swift,folklore,3:59
