,title,artists,album,length
0,Dakiti,"Bad Bunny, Jhay Cortez",Dakiti,3:25
1,positions,Ariana Grande,positions,2:52
2,Prisoner (feat. Dua Lipa),"Miley Cyrus, Dua Lipa",Prisoner (feat. Dua Lipa),2:49
3,Monster (Shawn Mendes & Justin Bieber),"Shawn Mendes, Justin Bieber",Monster,2:58
4,Blinding Lights,The Weeknd,After Hours,3:20
5,Therefore I Am,Billie Eilish,Therefore I Am,2:54
6,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",Levitating (feat. DaBaby),3:23
7,What You Know Bout Love,Pop Smoke,Shoot For The Stars Aim For The Moon,2:40
8,HOLIDAY,Lil Nas X,HOLIDAY,2:34
9,Mood (feat. iann dior),"24kGoldn, iann dior",Mood (feat. iann dior),2:20
10,Put Your Records On,Ritt Momney,Put Your Records On,3:30
11,Lonely (with benny blanco),"Justin Bieber, benny blanco",Lonely (with benny blanco),2:29
12,Lemonade,"Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)",3:15
13,YO VISTO ASÍ,Bad Bunny,EL Último Tour del Mundo,3:11
14,34+35,Ariana Grande,Positions,2:53
15,you broke me first,Tate McRae,you broke me first,2:49
16,SO DONE,The Kid LAROI,SO DONE,2:06
17,Angels Like You,Miley Cyrus,Plastic Hearts,3:16
18,Deep End,Fousheé,Deep End,2:21
19,Hawái - Remix,"Maluma, The Weeknd",Hawái (Remix),3:20
20,Take You Dancing,Jason Derulo,Take You Dancing,3:10
21,Life Goes On,BTS,BE,3:27
22,Holy (feat. Chance The Rapper),"Justin Bieber, Chance the Rapper",Holy,3:32
23,pov,Ariana Grande,Positions,3:21
24,Paradise (feat. Dermot Kennedy),"MEDUZA, Dermot Kennedy",Paradise,2:47
25,For The Night (feat. Lil Baby & DaBaby),"Pop Smoke, Lil Baby, DaBaby",Shoot For The Stars Aim For The Moon,3:10
26,Body,Megan Thee Stallion,Good News,2:51
27,The Business,Tiësto,The Business,2:44
28,Laugh Now Cry Later (feat. Lil Durk),"Drake, Lil Durk",Laugh Now Cry Later (feat. Lil Durk),4:21
29,ALWAYS DO,The Kid LAROI,F*CK LOVE (SAVAGE),2:31
30,Head & Heart (feat. MNEK),"Joel Corry, MNEK",Head & Heart (feat. MNEK),2:46
31,Diamonds,Sam Smith,Diamonds,3:33
32,Dynamite,BTS,Dynamite,3:19
33,Head Shoulders Knees & Toes (feat. Norma Jean Martine),"Ofenbach, Quarterhead, Norma Jean Martine",Head Shoulders Knees & Toes (feat. Norma Jean Martine),2:36
34,Wonder,Shawn Mendes,Wonder,2:52
35,Golden,Harry Styles,Fine Line,3:28
36,my ex's best friend (with blackbear),"Machine Gun Kelly, blackbear",my ex's best friend (with blackbear),2:18
37,Sofia,Clairo,Immunity,3:08
38,At My Worst,Pink Sweat$,The Prelude,2:50
39,Goosebumps,HVME,Goosebumps,2:43
40,Daisy,Ashnikko,Daisy,2:26
41,Whoopty,CJ,Whoopty,2:03
42,BICHOTA,KAROL G,BICHOTA,2:58
43,Breaking Me,"Topic, A7S",Breaking Me,2:46
44,Mad at Disney,salem ilese,Mad at Disney,2:16
45,Watermelon Sugar,Harry Styles,Fine Line,2:54
46,Se Te Nota (with Guaynaa),"Lele Pons, Guaynaa",Se Te Nota (with Guaynaa),2:35
47,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,3:01
48,Tyler Herro,Jack Harlow,Tyler Herro,2:36
49,Heather,Conan Gray,Kid Krow,3:18
