,title,artists,album,length
0,you broke me first,Tate McRae,you broke me first,2:49
1,Mood (feat. Iann Dior),"24kGoldn, iann dior",Mood (feat. Iann Dior),2:20
2,Dynamite,BTS,Dynamite,3:19
3,WAP (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion),3:07
4,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,3:01
5,Head & Heart (feat. MNEK),"Joel Corry, MNEK",Head & Heart (feat. MNEK),2:46
6,Breaking Me,"Topic, A7S",Breaking Me,2:46
7,Watermelon Sugar,Harry Styles,Fine Line,2:54
8,Laugh Now Cry Later (feat. Lil Durk),"Drake, Lil Durk",Laugh Now Cry Later (feat. Lil Durk),4:21
9,Midnight Sky,Miley Cyrus,Midnight Sky,3:43
10,Ice Cream (with Selena Gomez),"BLACKPINK, Selena Gomez",Ice Cream (with Selena Gomez),2:55
11,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),2:51
12,OK Not To Be OK,"Marshmello, Demi Lovato",OK Not To Be OK,2:39
13,Go Crazy,"Chris Brown, Young Thug",Slime & B,2:56
14,Over Now (with The Weeknd),"Calvin Harris, The Weeknd",Over Now (with The Weeknd),3:30
15,POPSTAR (feat. Drake),"DJ Khaled, Drake",POPSTAR (feat. Drake),3:20
16,Take You Dancing,Jason Derulo,Take You Dancing,3:10
17,Hawái,Maluma,Hawái,3:20
18,Come & Go (with Marshmello),"Juice WRLD, Marshmello",Legends Never Die,3:25
19,my ex's best friend (with blackbear),"Machine Gun Kelly, blackbear",my ex's best friend (with blackbear),2:18
20,Be Like That - feat. Swae Lee & Khalid,"Kane Brown, Swae Lee, Khalid",Be Like That (feat. Swae Lee & Khalid),3:11
21,Heather,Conan Gray,Kid Krow,3:18
22,For The Night (feat. Lil Baby & DaBaby),"Pop Smoke, Lil Baby, DaBaby",Shoot For The Stars Aim For The Moon,3:10
23,Lemonade,"Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)",3:15
24,UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Tainy, Dua Lipa, Bad Bunny",UN DIA (ONE DAY) (Feat. Tainy),3:52
25,Kings & Queens,Ava Max,Kings & Queens,2:42
26,Mad at Disney,salem ilese,Mad at Disney,2:16
27,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
28,Break My Heart,Dua Lipa,Break My Heart,3:41
29,Tap In,Saweetie,Tap In,2:19
30,Del Mar,"Ozuna, Doja Cat, Sia",ENOC,3:34
31,Wishing Well,Juice WRLD,Legends Never Die,3:14
32,Tick Tock (feat. 24kGoldn),"Clean Bandit, Mabel, 24kGoldn",Tick Tock (feat. 24kGoldn),2:58
33,Still Don't Know My Name,Labrinth,Euphoria (Original Score from the HBO Series),2:33
34,Mood Swings (feat. Lil Tjay),"Pop Smoke, Lil Tjay",Shoot For The Stars Aim For The Moon,3:33
35,Stunnin',"Curtis Waters, Harm Franklin",Stunnin',2:24
36,feel something,Bea Miller,feel something,3:00
37,Hit Different,"SZA, The Neptunes, Pharrell Williams",Hit Different,3:22
38,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow, Tory Lanez, DaBaby, Lil Wayne","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",3:47
39,Smile (with The Weeknd),"Juice WRLD, The Weeknd",Legends Never Die,3:16
40,Secrets,"Regard, RAYE",Secrets,2:56
41,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),3:02
42,Nobody's Love,Maroon 5,Nobody's Love,3:31
43,"Ay, DiOs Mío!",KAROL G,"Ay, DiOs Mío!",3:09
44,Blinding Lights,The Weeknd,Blinding Lights,3:21
45,Control,Zoe Wees,Control,3:50
46,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,3:48
47,my future,Billie Eilish,my future,3:28
48,cardigan,Taylor Swift,folklore,3:59
49,7 Summers,Morgan Wallen,7 Summers,3:30
