,title,artists,album,length
0,Intentions,"Justin Bieber, Quavo",Intentions,3:32
1,Blinding Lights,The Weeknd,Blinding Lights,3:21
2,No Time To Die,Billie Eilish,No Time To Die,4:02
3,Don't Start Now,Dua Lipa,Don't Start Now,3:03
4,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,3:16
5,Falling,Trevor Daniel,Falling,2:39
6,Life Is Good (feat. Drake),"Future, Drake",Life Is Good (feat. Drake),3:57
7,My Oh My (feat. DaBaby),"Camila Cabello, DaBaby",Romance,2:50
8,You should be sad,Halsey,You should be sad,3:25
9,Say So,Doja Cat,Hot Pink,3:57
10,To Die For,Sam Smith,To Die For,3:13
11,ROXANNE,Arizona Zervas,ROXANNE,2:43
12,everything i wanted,Billie Eilish,everything i wanted,4:05
13,Forever (feat. Post Malone & Clever),"Justin Bieber, Post Malone, Clever",Changes,3:39
14,What A Man Gotta Do,Jonas Brothers,What A Man Gotta Do,3:00
15,Dance Monkey,Tones and I,Dance Monkey,3:29
16,Rare,Selena Gomez,Rare,3:40
17,Physical,Dua Lipa,Physical,3:13
18,Know Your Worth,"Khalid, Disclosure",Know Your Worth,3:01
19,Adore You,Harry Styles,Adore You,3:27
20,What If I Told You That I Love You,Ali Gatie,What If I Told You That I Love You,3:13
21,Before You Go,Lewis Capaldi,Before You Go,3:35
22,me & ur ghost,blackbear,me & ur ghost,3:20
23,No Shame,5 Seconds of Summer,No Shame,3:10
24,Yummy,Justin Bieber,Yummy,3:30
25,Only The Young - Featured in Miss Americana,Taylor Swift,Only The Young (Featured in Miss Americana),2:37
26,Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",Music To Be Murdered By,3:30
27,Circles,Post Malone,Circles,3:34
28,Never Seen The Rain,Tones and I,The Kids Are Coming,3:20
29,No Judgement,Niall Horan,No Judgement,2:56
30,Lose Control,"MEDUZA, Becky Hill, Goodboys",Lose Control,2:48
31,SUGAR,BROCKHAMPTON,GINGER,3:24
32,Blueberry Faygo,Lil Mosey,Blueberry Faygo,2:42
33,Sunday Best,Surfaces,Where the Light Is,2:38
34,Birthday,Anne-Marie,Birthday,3:01
35,Forever Yours - Avicii Tribute,"Kygo, Avicii, Sandro Cavazza",Forever Yours (Avicii Tribute),3:13
36,High Fashion (feat. Mustard),"Roddy Ricch, Mustard",Please Excuse Me For Being Antisocial,3:40
37,stupid,Tate McRae,stupid,2:52
38,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
39,Run,Joji,Run,3:15
40,WHATS POPPIN,Jack Harlow,WHATS POPPIN,2:19
41,Suicidal,YNW Melly,Melly vs. Melvin,3:42
42,If The World Was Ending (feat. Julia Michaels),"JP Saxe, Julia Michaels",If The World Was Ending (feat. Julia Michaels),3:28
43,Maniac,Conan Gray,Maniac,3:05
44,"Alone, Pt. II","Alan Walker, Ava Max","Alone, Pt. II",2:59
45,Tusa,"KAROL G, Nicki Minaj",Tusa,3:20
46,Woah,Lil Baby,Woah,3:03
47,Own It (feat. Ed Sheeran & Burna Boy),"Stormzy, Burna Boy, Ed Sheeran",Own It (feat. Ed Sheeran & Burna Boy),3:36
48,July,Noah Cyrus,July,2:36
49,Yellow Hearts,Ant Saunders,Yellow Hearts,3:43
