,title,artists,album,length
0,Watermelon Sugar,Harry Styles,Fine Line,2:54
1,cardigan,Taylor Swift,folklore,3:59
2,Nobody's Love,Maroon 5,Nobody's Love,3:31
3,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,3:01
4,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),2:51
5,Wishing Well,Juice WRLD,Legends Never Die,3:14
6,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow, Tory Lanez, DaBaby, Lil Wayne","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",3:47
7,Breaking Me,"Topic, A7S",Breaking Me,2:46
8,UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Tainy, Dua Lipa, Bad Bunny",UN DIA (ONE DAY) (Feat. Tainy),3:52
9,POPSTAR (feat. Drake),"DJ Khaled, Drake",POPSTAR (feat. Drake),3:20
10,Come & Go (with Marshmello),"Juice WRLD, Marshmello",Legends Never Die,3:25
11,Go Crazy,"Chris Brown, Young Thug",Slime & B,2:56
12,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
13,Break My Heart,Dua Lipa,Break My Heart,3:41
14,Party Girl,StaySolidRocky,Party Girl,2:27
15,Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),2:52
16,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,3:48
17,Savage Remix (feat. Beyoncé),"Megan Thee Stallion, Beyoncé",Savage Remix (feat. Beyoncé),4:02
18,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),2:56
19,Blinding Lights,The Weeknd,Blinding Lights,3:21
20,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,3:43
21,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),3:02
22,The Woo (feat. 50 Cent & Roddy Ricch),"Pop Smoke, 50 Cent, Roddy Ricch",Shoot For The Stars Aim For The Moon,3:21
23,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,4:09
24,Stunnin',"Curtis Waters, Harm Franklin",Stunnin',2:24
25,Intentions,"Justin Bieber, Quavo",Intentions,3:32
26,Be Like That - feat. Swae Lee & Khalid,"Kane Brown, Swae Lee, Khalid",Be Like That (feat. Swae Lee & Khalid),3:11
27,Lose Somebody,"Kygo, OneRepublic",Lose Somebody,3:19
28,Kings & Queens,Ava Max,Kings & Queens,2:42
29,Lion King On Ice,J. Cole,Lewis Street,3:30
30,Secrets,"Regard, RAYE",Secrets,2:56
31,you broke me first,Tate McRae,you broke me first,2:49
32,Toosie Slide,Drake,Toosie Slide,4:07
33,Rover (feat. DTG),"S1mba, DTG",Rover (feat. DTG),2:47
34,GO (feat. Juice WRLD),"The Kid LAROI, Juice WRLD",GO (feat. Juice WRLD),3:03
35,Heather,Conan Gray,Kid Krow,3:18
36,Sunday Best,Surfaces,Where the Light Is,2:38
37,Some Say - Felix Jaehn Remix,"Nea, Felix Jaehn",Some Say (Felix Jaehn Remix),3:06
38,Head & Heart (feat. MNEK),"Joel Corry, MNEK",Head & Heart (feat. MNEK),2:46
39,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),2:53
40,Mariposa,Peach Tree Rascals,Mariposa,3:30
41,Rags2Riches (feat. ATR Son Son),"Rod Wave, ATR Son Son",Pray 4 Love,2:47
42,Past Life (with Selena Gomez),"Trevor Daniel, Selena Gomez",Past Life (with Selena Gomez),3:06
43,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,"Conkarah, Shaggy, DJ Fle",Banana (feat. Shaggy) [DJ FLe - Minisiren Remix],3:30
44,In Your Eyes,The Weeknd,After Hours,3:57
45,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)","Ty Dolla $ign, FKA twigs, Skrillex, Kanye West","Ego Death (feat. Kanye West, FKA twigs & Skrillex)",3:51
46,Are You Bored Yet? (feat. Clairo),"Wallows, Clairo",Nothing Happens,2:58
47,Control,Zoe Wees,Control,3:50
48,Blueberry Faygo,Lil Mosey,Blueberry Faygo,2:42
49,How You Like That,BLACKPINK,How You Like That,3:01
