,title,artists,album,length
0,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),"Ariana Grande, Miley Cyrus, Lana Del Rey",Don’t Call Me Angel (Charlie’s Angels),3:10
1,Circles,Post Malone,Circles,3:34
2,Graveyard,Halsey,Graveyard,3:01
3,Dance Monkey,Tones and I,Dance Monkey,3:29
4,Liar,Camila Cabello,Liar,3:27
5,How Do You Sleep?,Sam Smith,How Do You Sleep?,3:22
6,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,3:02
7,Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),3:17
8,Motivation,Normani,Motivation,3:13
9,Saint-Tropez,Post Malone,Hollywood's Bleeding,2:30
10,Slide Away,Miley Cyrus,Slide Away,3:53
11,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”","Lauv, Anne-Marie","fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",3:18
12,hot girl bummer,blackbear,hot girl bummer,3:05
13,Señorita,"Shawn Mendes, Camila Cabello",Señorita,3:10
14,boyfriend (with Social House),"Ariana Grande, Social House",boyfriend,3:06
15,Goodbyes (Feat. Young Thug),"Post Malone, Young Thug",Goodbyes (Feat. Young Thug),2:54
16,Teeth,5 Seconds of Summer,Teeth,3:24
17,Truth Hurts,Lizzo,Truth Hurts,2:53
18,Panini,Lil Nas X,7 EP,1:54
19,Takeaway,"The Chainsmokers, ILLENIUM, Lennon Stella",World War Joy...Takeaway,3:29
20,Shameless,Camila Cabello,Shameless,3:39
21,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",3:14
22,Ransom,Lil Tecca,Ransom,2:11
23,Right Back (feat. A Boogie Wit Da Hoodie),"Khalid, A Boogie Wit da Hoodie",Right Back (feat. A Boogie Wit Da Hoodie),4:14
24,Good As Hell,Lizzo,Good As Hell,2:39
25,Loco Contigo (feat. J. Balvin & Tyga),"DJ Snake, J Balvin, Tyga",Carte Blanche,3:05
26,Wanted,OneRepublic,Wanted,2:16
27,I.F.L.Y.,Bazzi,I.F.L.Y.,2:45
28,I Warned Myself,Charlie Puth,I Warned Myself,2:39
29,Lalala,"Y2K, bbno$",Lalala,2:40
30,Ride It,Regard,Ride It,2:37
31,Post Malone (feat. RANI),"Sam Feldt, RANI",Magnets EP,2:54
32,all the good girls go to hell,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2:48
33,Bruises,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,3:40
34,One Thing Right,"Marshmello, Kane Brown",One Thing Right,3:01
35,Que Calor,"Major Lazer, J Balvin, El Alfa",Que Calor,2:49
36,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),"Megan Thee Stallion, Ty Dolla $ign, Nicki Minaj",Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),3:19
37,Lover,Taylor Swift,Lover,3:41
38,Graduation (with Juice WRLD),"benny blanco, Juice WRLD",Graduation (with Juice WRLD),2:57
39,Good Things Fall Apart (with Jon Bellion),"ILLENIUM, Jon Bellion",Good Things Fall Apart (with Jon Bellion),3:36
40,Jesus In LA,Alec Benjamin,Jesus In LA,2:52
41,It's You,Ali Gatie,It's You,3:32
42,Higher Love,"Kygo, Whitney Houston",Higher Love,3:48
43,Be Honest (feat. Burna Boy),"Jorja Smith, Burna Boy",Be Honest (feat. Burna Boy),3:27
44,The Man,Taylor Swift,Lover,3:10
45,comethru,Jeremy Zucker,"summer,",3:01
46,No Guidance (feat. Drake),"Chris Brown, Drake",Indigo,4:20
47,Outnumbered,Dermot Kennedy,Outnumbered,4:05
48,"Yo x Ti, Tu x Mi","ROSALÍA, Ozuna","Yo x Ti, Tu x Mi",3:21
49,Love Me,Lil Tecca,Love Me,1:57
