,title,artists,album,length
0,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,3:48
1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,3:01
2,Say So (feat. Nicki Minaj),"Doja Cat, Nicki Minaj",Say So (feat. Nicki Minaj),3:26
3,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,3:43
4,Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),2:52
5,Break My Heart,Dua Lipa,Break My Heart,3:41
6,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,2:45
7,Savage Remix (feat. Beyoncé),"Megan Thee Stallion, Beyoncé",Savage Remix (feat. Beyoncé),4:02
8,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
9,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),2:56
10,Toosie Slide,Drake,Toosie Slide,4:07
11,Blinding Lights,The Weeknd,Blinding Lights,3:21
12,Intentions,"Justin Bieber, Quavo",Intentions,3:32
13,Sunday Best,Surfaces,Where the Light Is,2:38
14,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),2:53
15,Blueberry Faygo,Lil Mosey,Blueberry Faygo,2:42
16,Boss Bitch,Doja Cat,Boss Bitch,2:14
17,Don't Start Now,Dua Lipa,Don't Start Now,3:03
18,In Your Eyes,The Weeknd,After Hours,3:57
19,Pain 1993 (with Playboi Carti),"Drake, Playboi Carti",Dark Lane Demo Tapes,2:29
20,Righteous,Juice WRLD,Righteous,4:03
21,Breaking Me,"Topic, A7S",Breaking Me,2:46
22,Play Date,Melanie Martinez,Cry Baby (Deluxe Edition),2:59
23,I’m Ready (with Demi Lovato),"Sam Smith, Demi Lovato",I’m Ready (with Demi Lovato),3:20
24,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,3:16
25,Falling,Trevor Daniel,Falling,2:39
26,Salt,Ava Max,Salt,3:00
27,Adore You,Harry Styles,Adore You,3:27
28,Like It Is,"Kygo, Zara Larsson, Tyga",Like It Is,3:03
29,Party Girl,StaySolidRocky,Party Girl,2:27
30,Know Your Worth,"Khalid, Disclosure",Know Your Worth,3:01
31,This City,Sam Fischer,This City,3:14
32,WHATS POPPIN,Jack Harlow,WHATS POPPIN,2:19
33,After Party,Don Toliver,Heaven Or Hell,2:47
34,Physical,Dua Lipa,Physical,3:13
35,If the World Was Ending - feat. Julia Michaels,"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),3:28
36,ROXANNE,Arizona Zervas,ROXANNE,2:43
37,Life Is Good (feat. Drake),"Future, Drake",Life Is Good (feat. Drake),3:57
38,Level of Concern,Twenty One Pilots,Level of Concern,3:40
39,Before You Go,Lewis Capaldi,Before You Go,3:35
40,You should be sad,Halsey,You should be sad,3:25
41,Selfish,Madison Beer,Selfish,3:43
42,CITY OF ANGELS,24kGoldn,DROPPED OUTTA COLLEGE,1:52
43,BELIEVE IT,"PARTYNEXTDOOR, Rihanna",PARTYMOBILE,3:03
44,Circles,Post Malone,Circles,3:34
45,Yo Perreo Sola,Bad Bunny,YHLQMDLG,2:52
46,Walk Em Down (feat. Roddy Ricch),"NLE Choppa, Roddy Ricch",Walk Em Down (feat. Roddy Ricch),2:53
47,In Your Eyes (feat. Alida),"Robin Schulz, Alida",In Your Eyes (feat. Alida),3:28
48,My Oh My (feat. DaBaby),"Camila Cabello, DaBaby",Romance,2:50
49,Boyfriend,Selena Gomez,Rare (Deluxe),2:41
