,title,artists,album,length
0,Dance Monkey,Tones and I,Dance Monkey,3:29
1,Memories,Maroon 5,Memories,3:09
2,Circles,Post Malone,Circles,3:34
3,hot girl bummer,blackbear,hot girl bummer,3:05
4,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,2:55
5,Lights Up,Harry Styles,Lights Up,2:52
6,Graveyard,Halsey,Graveyard,3:01
7,"10,000 Hours (with Justin Bieber)","Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)",2:47
8,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,3:02
9,How Do You Sleep?,Sam Smith,How Do You Sleep?,3:22
10,Liar,Camila Cabello,Liar,3:27
11,Good Thing (with Kehlani),"Zedd, Kehlani",Good Thing (with Kehlani),3:30
12,Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),3:17
13,Trampoline (with ZAYN),"SHAED, ZAYN",Trampoline (with ZAYN),3:04
14,Writing on the Wall (feat. Post Malone & Cardi B),"French Montana, Rvssian, Post Malone, Cardi B",Writing on the Wall (feat. Post Malone & Cardi B),3:21
15,Lonely (with Jonas Brothers),"Diplo, Jonas Brothers",Lonely,2:19
16,Ride It,Regard,Ride It,2:37
17,Good As Hell,Lizzo,Good As Hell,2:39
18,Cry for Me,Camila Cabello,Cry for Me,3:09
19,Panini,Lil Nas X,7 EP,1:54
20,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),"Ariana Grande, Miley Cyrus, Lana Del Rey",Don’t Call Me Angel (Charlie’s Angels),3:10
21,Motivation,Normani,Motivation,3:13
22,Saint-Tropez,Post Malone,Hollywood's Bleeding,2:30
23,South of the Border (feat. Camila Cabello & Cardi B),"Ed Sheeran, Camila Cabello, Cardi B",No.6 Collaborations Project,3:24
24,Nice To Meet Ya,Niall Horan,Nice To Meet Ya,2:38
25,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”","Lauv, Anne-Marie","fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",3:18
26,Bruises,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,3:40
27,Takeaway,"The Chainsmokers, ILLENIUM, Lennon Stella",World War Joy...Takeaway,3:29
28,Heartless (feat. Morgan Wallen),"Diplo, Morgan Wallen",Heartless (feat. Morgan Wallen),2:49
29,Take What You Want (feat. Ozzy Osbourne & Travis Scott),"Post Malone, Ozzy Osbourne, Travis Scott",Hollywood's Bleeding,3:49
30,Outnumbered,Dermot Kennedy,Outnumbered,4:05
31,Teeth,5 Seconds of Summer,Teeth,3:24
32,Bandit (with YoungBoy Never Broke Again),"Juice WRLD, YoungBoy Never Broke Again",Bandit (with YoungBoy Never Broke Again),3:09
33,Feelings,Lauv,Feelings,3:09
34,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",3:14
35,I.F.L.Y.,Bazzi,I.F.L.Y.,2:45
36,BOP,DaBaby,KIRK,2:39
37,Playing Games,Summer Walker,Over It,2:23
38,Lalala,"Y2K, bbno$",Lalala,2:40
39,boyfriend (with Social House),"Ariana Grande, Social House",boyfriend,3:06
40,Truth Hurts,Lizzo,Truth Hurts,2:53
41,What Am I,Why Don't We,What Am I,3:04
42,Hot (feat. Gunna),"Young Thug, Gunna",So Much Fun,3:13
43,Que Calor (feat. J Balvin & El Alfa),"Major Lazer, J Balvin, El Alfa, Diplo",Que Calor (feat. J Balvin & El Alfa),2:49
44,Be Honest (feat. Burna Boy),"Jorja Smith, Burna Boy",Be Honest (feat. Burna Boy),3:27
45,all the good girls go to hell,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2:48
46,It's You,Ali Gatie,It's You,3:32
47,Ransom,Lil Tecca,Ransom,2:11
48,Post Malone (feat. RANI),"Sam Feldt, RANI",Magnets EP,2:54
49,Higher Love,"Kygo, Whitney Houston",Higher Love,3:48
