,title,artists,album,length
0,POPSTAR (feat. Drake),"DJ Khaled, Drake",POPSTAR (feat. Drake),3:20
1,Breaking Me,"Topic, A7S",Breaking Me,2:46
2,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow, Tory Lanez, DaBaby, Lil Wayne","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",3:47
3,Wishing Well,Juice WRLD,Legends Never Die,3:14
4,Watermelon Sugar,Harry Styles,Fine Line,2:54
5,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),2:51
6,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,3:01
7,Break My Heart,Dua Lipa,Break My Heart,3:41
8,Come & Go (with Marshmello),"Juice WRLD, Marshmello",Legends Never Die,3:25
9,Party Girl,StaySolidRocky,Party Girl,2:27
10,Savage Remix (feat. Beyoncé),"Megan Thee Stallion, Beyoncé",Savage Remix (feat. Beyoncé),4:02
11,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),3:02
12,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
13,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,3:48
14,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),2:56
15,Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),2:52
16,Go Crazy,"Chris Brown, Young Thug",Slime & B,2:56
17,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,3:43
18,Toosie Slide,Drake,Toosie Slide,4:07
19,Blinding Lights,The Weeknd,Blinding Lights,3:21
20,Intentions,"Justin Bieber, Quavo",Intentions,3:32
21,The Woo (feat. 50 Cent & Roddy Ricch),"Pop Smoke, 50 Cent, Roddy Ricch",Shoot For The Stars Aim For The Moon,3:21
22,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,4:09
23,Stunnin',"Curtis Waters, Harm Franklin",Stunnin',2:24
24,Lose Somebody,"Kygo, OneRepublic",Lose Somebody,3:19
25,Kings & Queens,Ava Max,Kings & Queens,2:42
26,Secrets,"Regard, RAYE",Secrets,2:56
27,Rover (feat. DTG),"S1mba, DTG",Rover (feat. DTG),2:47
28,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,"Conkarah, Shaggy, DJ Fle",Banana (feat. Shaggy) [DJ FLe - Minisiren Remix],3:30
29,Sunday Best,Surfaces,Where the Light Is,2:38
30,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),2:53
31,Be Like That - feat. Swae Lee & Khalid,"Kane Brown, Swae Lee, Khalid",Be Like That (feat. Swae Lee & Khalid),3:11
32,Rags2Riches (feat. ATR Son Son),"Rod Wave, ATR Son Son",Pray 4 Love,2:47
33,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)","Ty Dolla $ign, FKA twigs, Skrillex, Kanye West","Ego Death (feat. Kanye West, FKA twigs & Skrillex)",3:51
34,Some Say - Felix Jaehn Remix,"Nea, Felix Jaehn",Some Say (Felix Jaehn Remix),3:06
35,Mariposa,Peach Tree Rascals,Mariposa,3:30
36,Past Life (with Selena Gomez),"Trevor Daniel, Selena Gomez",Past Life (with Selena Gomez),3:06
37,Head & Heart (feat. MNEK),"Joel Corry, MNEK",Head & Heart (feat. MNEK),2:46
38,How You Like That,BLACKPINK,How You Like That,3:01
39,In Your Eyes,The Weeknd,After Hours,3:57
40,you broke me first,Tate McRae,you broke me first,2:49
41,Are You Bored Yet? (feat. Clairo),"Wallows, Clairo",Nothing Happens,2:58
42,Blueberry Faygo,Lil Mosey,Blueberry Faygo,2:42
43,GO (feat. Juice WRLD),"The Kid LAROI, Juice WRLD",GO (feat. Juice WRLD),3:03
44,Control,Zoe Wees,Control,3:50
45,Play Date,Melanie Martinez,Cry Baby (Deluxe Edition),2:59
46,TKN (feat. Travis Scott),"ROSALÍA, Travis Scott",TKN (feat. Travis Scott),2:09
47,We Paid (feat. 42 Dugg),"Lil Baby, 42 Dugg",My Turn (Deluxe),3:01
48,Say So,Doja Cat,Hot Pink,3:57
49,Before You Go,Lewis Capaldi,Before You Go,3:35
