,title,artists,album,length
0,Falling,Trevor Daniel,Falling,2:39
1,Blinding Lights,The Weeknd,Blinding Lights,3:21
2,My Oh My (feat. DaBaby),"Camila Cabello, DaBaby",Romance,2:50
3,ROXANNE,Arizona Zervas,ROXANNE,2:43
4,Don't Start Now,Dua Lipa,Don't Start Now,3:03
5,Adore You,Harry Styles,Adore You,3:27
6,Dance Monkey,Tones and I,Dance Monkey,3:29
7,everything i wanted,Billie Eilish,everything i wanted,4:05
8,Circles,Post Malone,Circles,3:34
9,Lose You To Love Me,Selena Gomez,Lose You To Love Me,3:26
10,Memories,Maroon 5,Memories,3:09
11,Watermelon Sugar,Harry Styles,Watermelon Sugar,2:54
12,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,"Travis Scott, ROSALÍA, Lil Baby",JACKBOYS,4:04
13,Heartless,The Weeknd,Heartless,3:20
14,hot girl bummer,blackbear,hot girl bummer,3:05
15,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,3:16
16,Trampoline (with ZAYN),"SHAED, ZAYN",Trampoline (with ZAYN),3:04
17,Up All Night,Khalid,Up All Night,2:37
18,Before You Go,Lewis Capaldi,Before You Go,3:35
19,Yellow Hearts,Ant Saunders,Yellow Hearts,3:43
20,Mean It,"Lauv, LANY",how i'm feeling,3:52
21,Look At Her Now,Selena Gomez,Look At Her Now,2:42
22,Family,"The Chainsmokers, Kygo",World War Joy,3:14
23,South of the Border (feat. Camila Cabello & Cardi B),"Ed Sheeran, Camila Cabello, Cardi B",No.6 Collaborations Project,3:24
24,RITMO (Bad Boys For Life),"The Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),3:41
25,Graveyard,Halsey,Graveyard,3:01
26,Falling,Harry Styles,Fine Line,4:00
27,Nice To Meet Ya,Niall Horan,Nice To Meet Ya,2:38
28,Own It (feat. Ed Sheeran & Burna Boy),"Stormzy, Burna Boy, Ed Sheeran",Own It (feat. Ed Sheeran & Burna Boy),3:36
29,Never Seen The Rain,Tones and I,The Kids Are Coming,3:20
30,If The World Was Ending (feat. Julia Michaels),"JP Saxe, Julia Michaels",If The World Was Ending (feat. Julia Michaels),3:28
31,Good as Hell (feat. Ariana Grande) - Remix,"Lizzo, Ariana Grande",Good as Hell (feat. Ariana Grande) [Remix],2:39
32,Futsal Shuffle 2020,Lil Uzi Vert,Futsal Shuffle 2020,3:18
33,No Idea,Don Toliver,No Idea,2:33
34,Maniac,Conan Gray,Maniac,3:05
35,Mind Is A Prison,Alec Benjamin,Mind Is A Prison,2:42
36,July,Noah Cyrus,July,2:36
37,Candy,Doja Cat,Amala,3:10
38,Ballin' (with Roddy Ricch),"Mustard, Roddy Ricch",Perfect Ten,3:00
39,Tusa,"KAROL G, Nicki Minaj",Tusa,3:20
40,Lose Control,"MEDUZA, Becky Hill, Goodboys",Lose Control,2:48
41,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
42,How Do You Sleep?,Sam Smith,How Do You Sleep?,3:22
43,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,3:02
44,Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),3:17
45,Ride It,Regard,Ride It,2:37
46,BOP,DaBaby,KIRK,2:39
47,Vete,Bad Bunny,Vete,3:12
48,"10,000 Hours (with Justin Bieber)","Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)",2:47
49,Lover (Remix) [feat. Shawn Mendes],"Taylor Swift, Shawn Mendes",Lover (Remix) [feat. Shawn Mendes],3:41
