,title,artists,album,length
0,You Need To Calm Down,Taylor Swift,You Need To Calm Down,2:51
1,Call You Mine (with Bebe Rexha),"The Chainsmokers, Bebe Rexha",World War Joy,3:37
2,I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber",I Don't Care (with Justin Bieber),3:39
3,Heaven,Avicii,TIM,4:37
4,Only Human,Jonas Brothers,Happiness Begins,3:03
5,when the party's over - Recorded at Spotify Studios NYC,Lewis Capaldi,Spotify Singles,3:52
6,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",3:14
7,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),"Martin Garrix, Macklemore, Fall Out Boy",Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2:43
8,If I Can't Have You,Shawn Mendes,If I Can't Have You,3:10
9,Never Really Over,Katy Perry,Never Really Over,3:43
10,No Guidance (feat. Drake),"Chris Brown, Drake",No Guidance (feat. Drake),4:20
11,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,3:02
12,Rescue Me,OneRepublic,Rescue Me,2:38
13,Mad Love,Mabel,Mad Love,2:49
14,Mother's Daughter,Miley Cyrus,SHE IS COMING,3:39
15,EARFQUAKE,"Tyler, The Creator",IGOR,3:10
16,Focus (feat. 21 Savage),"Bazzi, 21 Savage",Focus (feat. 21 Savage),2:35
17,Find U Again (feat. Camila Cabello),"Mark Ronson, Camila Cabello",Find U Again (feat. Camila Cabello),2:56
18,The London (feat. J. Cole & Travis Scott),"Young Thug, J. Cole, Travis Scott",The London (feat. J. Cole & Travis Scott),3:20
19,Loco Contigo (with J. Balvin & Tyga),"DJ Snake, J Balvin, Tyga",Loco Contigo (with J. Balvin & Tyga),3:05
20,Cross Me (feat. Chance the Rapper & PnB Rock),"Ed Sheeran, Chance the Rapper, PnB Rock",Cross Me (feat. Chance the Rapper & PnB Rock),3:26
21,Sad Song (feat. TINI),"Alesso, TINI",Sad Song (feat. TINI),2:34
22,Civil War,Russ,Civil War,2:23
23,Hold The Line (feat. A R I Z O N A ),"Avicii, A R I Z O N A",TIM,2:51
24,Easier,5 Seconds of Summer,Easier,2:37
25,Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",Old Town Road,2:37
26,Con Calma,"Daddy Yankee, Snow",Con Calma,3:13
27,Ritual,"Tiësto, Jonas Blue, Rita Ora",Ritual,3:18
28,Sucker,Jonas Brothers,Sucker,3:01
29,Suge,DaBaby,Baby On Baby,2:43
30,Truth Hurts,Lizzo,Truth Hurts,2:53
31,Go Loko,"YG, Tyga, Jon Z",Go Loko,4:59
32,All Around The World (La La La),"R3HAB, A Touch Of Class",All Around The World (La La La),2:27
33,Not Ok,"Kygo, Chelsea Cutler",Not Ok,3:30
34,Press,Cardi B,Press,2:23
35,Ransom,Lil Tecca,Ransom,2:11
36,La La Land (feat. YG),"Bryce Vine, YG",La La Land (feat. YG),2:57
37,"Hey, Ma",Bon Iver,"Hey, Ma",3:36
38,The Git Up,Blanco Brown,The Git Up,3:20
39,Dear Society,Madison Beer,Dear Society,2:59
40,SOS,"Avicii, Aloe Blacc",SOS,2:37
41,Nightmare,Halsey,Nightmare,3:51
42,Piece Of Your Heart,"MEDUZA, Goodboys",Piece Of Your Heart,2:32
43,3 Nights,Dominic Fike,"Don't Forget About Me, Demos",2:57
44,Just Us (feat. SZA),"DJ Khaled, SZA",Father Of Asahd,3:41
45,Love Me Less (feat. Quinn XCII),"MAX, Quinn XCII",Love Me Less (feat. Quinn XCII),2:57
46,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")","Kygo, Rita Ora","Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",3:35
47,Otro Trago,"Sech, Darell",Sueños,3:45
48,Talk,Khalid,Free Spirit,3:17
49,Pop Out feat. Lil Tjay,"Polo G, Lil Tjay",Pop Out feat. Lil Tjay,2:46
