,title,artists,album,length
0,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,3:01
1,Watermelon Sugar,Harry Styles,Fine Line,2:54
2,Break My Heart,Dua Lipa,Break My Heart,3:41
3,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),3:02
4,Party Girl,StaySolidRocky,Party Girl,2:27
5,Savage Remix (feat. Beyoncé),"Megan Thee Stallion, Beyoncé",Savage Remix (feat. Beyoncé),4:02
6,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,3:43
7,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),2:56
8,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,3:48
9,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
10,Breaking Me,"Topic, A7S",Breaking Me,2:46
11,Blinding Lights,The Weeknd,Blinding Lights,3:21
12,Lose Somebody,"Kygo, OneRepublic",Lose Somebody,3:19
13,Intentions,"Justin Bieber, Quavo",Intentions,3:32
14,Toosie Slide,Drake,Toosie Slide,4:07
15,TKN (feat. Travis Scott),"ROSALÍA, Travis Scott",TKN (feat. Travis Scott),2:09
16,Kings & Queens,Ava Max,Kings & Queens,2:42
17,Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),2:52
18,Sour Candy (with BLACKPINK),"Lady Gaga, BLACKPINK",Sour Candy (with BLACKPINK),2:37
19,Say So (feat. Nicki Minaj),"Doja Cat, Nicki Minaj",Say So (feat. Nicki Minaj),3:26
20,Sunday Best,Surfaces,Where the Light Is,2:38
21,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),2:53
22,Play Date,Melanie Martinez,Cry Baby (Deluxe Edition),2:59
23,In Your Eyes,The Weeknd,After Hours,3:57
24,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,4:09
25,Deep End Freestyle,"Sleepy Hallow, Fousheé",Deep End Freestyle,1:55
26,Tell Me U Luv Me (with Trippie Redd),"Juice WRLD, Trippie Redd",Tell Me U Luv Me (with Trippie Redd),3:00
27,Secrets,"Regard, RAYE",Secrets,2:56
28,Rover (feat. DTG),"S1mba, DTG",Rover (feat. DTG),2:47
29,Don't Start Now,Dua Lipa,Don't Start Now,3:03
30,Blueberry Faygo,Lil Mosey,Blueberry Faygo,2:42
31,Emotionally Scarred,Lil Baby,My Turn,3:17
32,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,2:45
33,Boss Bitch,Doja Cat,Boss Bitch,2:14
34,Falling,Trevor Daniel,Falling,2:39
35,Control,Zoe Wees,Control,3:50
36,Some Say - Felix Jaehn Remix,"Nea, Felix Jaehn",Some Say (Felix Jaehn Remix),3:06
37,Know Your Worth,"Khalid, Disclosure",Know Your Worth,3:01
38,WHATS POPPIN,Jack Harlow,WHATS POPPIN,2:19
39,IDK You Yet,Alexander 23,IDK You Yet,3:04
40,Daisies,Katy Perry,Daisies,2:53
41,This City,Sam Fischer,This City,3:14
42,After Party,Don Toliver,Heaven Or Hell,2:47
43,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,3:16
44,ROXANNE,Arizona Zervas,ROXANNE,2:43
45,Before You Go,Lewis Capaldi,Before You Go,3:35
46,Selfish,Madison Beer,Selfish,3:43
47,Life Is Good (feat. Drake),"Future, Drake",Life Is Good (feat. Drake),3:57
48,Walk Em Down (feat. Roddy Ricch),"NLE Choppa, Roddy Ricch",Walk Em Down (feat. Roddy Ricch),2:53
49,Yo Perreo Sola,Bad Bunny,YHLQMDLG,2:52
