,title,artists,album,length
0,Savage Remix (feat. Beyoncé),"Megan Thee Stallion, Beyoncé",Savage Remix (feat. Beyoncé),4:02
1,Say So,Doja Cat,Hot Pink,3:57
2,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,2:45
3,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
4,Toosie Slide,Drake,Toosie Slide,4:07
5,Blinding Lights,The Weeknd,Blinding Lights,3:21
6,Break My Heart,Dua Lipa,Break My Heart,3:41
7,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,3:43
8,Righteous,Juice WRLD,Righteous,4:03
9,Blueberry Faygo,Lil Mosey,Blueberry Faygo,2:42
10,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),2:53
11,Intentions,"Justin Bieber, Quavo",Intentions,3:32
12,Boss Bitch,Doja Cat,Boss Bitch,2:14
13,I’m Ready (with Demi Lovato),"Sam Smith, Demi Lovato",I’m Ready (with Demi Lovato),3:20
14,Sunday Best,Surfaces,Where the Light Is,2:38
15,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),2:56
16,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,3:01
17,In Your Eyes,The Weeknd,After Hours,3:57
18,Don't Start Now,Dua Lipa,Don't Start Now,3:03
19,Boyfriend,Selena Gomez,Rare (Deluxe),2:41
20,Falling,Trevor Daniel,Falling,2:39
21,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,3:16
22,Adore You,Harry Styles,Adore You,3:27
23,Like It Is,"Kygo, Zara Larsson, Tyga",Like It Is,3:03
24,Level of Concern,Twenty One Pilots,Level of Concern,3:40
25,Breaking Me,"Topic, A7S",Breaking Me,2:46
26,Salt,Ava Max,Salt,3:00
27,WHATS POPPIN,Jack Harlow,WHATS POPPIN,2:19
28,This City,Sam Fischer,This City,3:14
29,Know Your Worth,"Khalid, Disclosure",Know Your Worth,3:01
30,Physical,Dua Lipa,Physical,3:13
31,Play Date,Melanie Martinez,Cry Baby (Deluxe Edition),2:59
32,Life Is Good (feat. Drake),"Future, Drake",Life Is Good (feat. Drake),3:57
33,ROXANNE,Arizona Zervas,ROXANNE,2:43
34,If the World Was Ending - feat. Julia Michaels,"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),3:28
35,Selfish,Madison Beer,Selfish,3:43
36,Before You Go,Lewis Capaldi,Before You Go,3:35
37,You should be sad,Halsey,You should be sad,3:25
38,CITY OF ANGELS,24kGoldn,DROPPED OUTTA COLLEGE,1:52
39,BELIEVE IT,"PARTYNEXTDOOR, Rihanna",PARTYMOBILE,3:03
40,Walk Em Down (feat. Roddy Ricch),"NLE Choppa, Roddy Ricch",Walk Em Down (feat. Roddy Ricch),2:53
41,My Oh My (feat. DaBaby),"Camila Cabello, DaBaby",Romance,2:50
42,In Your Eyes (feat. Alida),"Robin Schulz, Alida",In Your Eyes (feat. Alida),3:28
43,Circles,Post Malone,Circles,3:34
44,Gimme Love,Joji,Gimme Love,3:34
45,What If I Told You That I Love You,Ali Gatie,What If I Told You That I Love You,3:13
46,Moral of the Story,Ashe,Moral of the Story,3:21
47,Maniac,Conan Gray,Maniac,3:05
48,Yo Perreo Sola,Bad Bunny,YHLQMDLG,2:52
49,@ MEH,Playboi Carti,@ MEH,2:46
