,title,artists,album,length
0,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),2:51
1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,3:01
2,Watermelon Sugar,Harry Styles,Fine Line,2:54
3,Party Girl,StaySolidRocky,Party Girl,2:27
4,Break My Heart,Dua Lipa,Break My Heart,3:41
5,Breaking Me,"Topic, A7S",Breaking Me,2:46
6,Savage Remix (feat. Beyoncé),"Megan Thee Stallion, Beyoncé",Savage Remix (feat. Beyoncé),4:02
7,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),3:02
8,How You Like That,BLACKPINK,How You Like That,3:01
9,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,3:43
10,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
11,BLACK PARADE,Beyoncé,BLACK PARADE,4:41
12,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),2:56
13,Lose Somebody,"Kygo, OneRepublic",Lose Somebody,3:19
14,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,3:48
15,Toosie Slide,Drake,Toosie Slide,4:07
16,Blinding Lights,The Weeknd,Blinding Lights,3:21
17,Kings & Queens,Ava Max,Kings & Queens,2:42
18,Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),2:52
19,Intentions,"Justin Bieber, Quavo",Intentions,3:32
20,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),2:53
21,Sunday Best,Surfaces,Where the Light Is,2:38
22,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,4:09
23,Play Date,Melanie Martinez,Cry Baby (Deluxe Edition),2:59
24,In Your Eyes,The Weeknd,After Hours,3:57
25,Rover (feat. DTG),"S1mba, DTG",Rover (feat. DTG),2:47
26,We Paid (feat. 42 Dugg),"Lil Baby, 42 Dugg",My Turn (Deluxe),3:01
27,Secrets,"Regard, RAYE",Secrets,2:56
28,Say So,Doja Cat,Hot Pink,3:57
29,Blueberry Faygo,Lil Mosey,Blueberry Faygo,2:42
30,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow, Tory Lanez, DaBaby, Lil Wayne","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",3:47
31,Don't Start Now,Dua Lipa,Don't Start Now,3:03
32,Some Say - Felix Jaehn Remix,"Nea, Felix Jaehn",Some Say (Felix Jaehn Remix),3:06
33,Stunnin',"Curtis Waters, Harm Franklin",Stunnin',2:24
34,Deep End Freestyle,"Sleepy Hallow, Fousheé",Deep End Freestyle,1:55
35,GO (feat. Juice WRLD),"The Kid LAROI, Juice WRLD",GO (feat. Juice WRLD),3:03
36,TKN (feat. Travis Scott),"ROSALÍA, Travis Scott",TKN (feat. Travis Scott),2:09
37,Control,Zoe Wees,Control,3:50
38,Falling,Trevor Daniel,Falling,2:39
39,Emotionally Scarred,Lil Baby,My Turn,3:17
40,Sour Candy (with BLACKPINK),"Lady Gaga, BLACKPINK",Sour Candy (with BLACKPINK),2:37
41,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,"Conkarah, Shaggy, DJ Fle",Banana (feat. Shaggy) [DJ FLe - Minisiren Remix],3:30
42,After Party,Don Toliver,Heaven Or Hell,2:47
43,This City,Sam Fischer,This City,3:14
44,Before You Go,Lewis Capaldi,Before You Go,3:35
45,IDK You Yet,Alexander 23,IDK You Yet,3:04
46,Daisies,Katy Perry,Daisies,2:53
47,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,2:45
48,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,3:16
49,Yo Perreo Sola,Bad Bunny,YHLQMDLG,2:52
