,title,artists,album,length
0,Don't Start Now,Dua Lipa,Don't Start Now,3:03
1,Blinding Lights,The Weeknd,Blinding Lights,3:21
2,Intentions,"Justin Bieber, Quavo",Intentions,3:32
3,Say So,Doja Cat,Hot Pink,3:57
4,BELIEVE IT,"PARTYNEXTDOOR, Rihanna",PARTYMOBILE,3:03
5,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,3:16
6,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),2:53
7,Sunday Best,Surfaces,Where the Light Is,2:38
8,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
9,Blueberry Faygo,Lil Mosey,Blueberry Faygo,2:42
10,In Your Eyes,The Weeknd,After Hours,3:57
11,Break My Heart,Dua Lipa,Break My Heart,3:41
12,Falling,Trevor Daniel,Falling,2:39
13,Adore You,Harry Styles,Adore You,3:27
14,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,3:43
15,Like It Is,"Kygo, Zara Larsson, Tyga",Like It Is,3:03
16,Forever (feat. Post Malone & Clever),"Justin Bieber, Post Malone, Clever",Changes,3:39
17,Turks (feat. Travis Scott),"NAV, Gunna, Travis Scott",Turks,2:41
18,After Hours,The Weeknd,After Hours,6:01
19,Stupid Love,Lady Gaga,Stupid Love,3:13
20,Physical,Dua Lipa,Physical,3:13
21,I Love Me,Demi Lovato,I Love Me,3:23
22,My Oh My (feat. DaBaby),"Camila Cabello, DaBaby",Romance,2:50
23,WHATS POPPIN,Jack Harlow,WHATS POPPIN,2:19
24,CITY OF ANGELS,24kGoldn,DROPPED OUTTA COLLEGE,1:52
25,You should be sad,Halsey,You should be sad,3:25
26,Rojo,J Balvin,Rojo,2:30
27,ROXANNE,Arizona Zervas,ROXANNE,2:43
28,Boss Bitch,Doja Cat,Boss Bitch,2:14
29,Know Your Worth,"Khalid, Disclosure",Know Your Worth,3:01
30,In Your Eyes (feat. Alida),"Robin Schulz, Alida",In Your Eyes (feat. Alida),3:28
31,That Way,Lil Uzi Vert,That Way,3:32
32,Savage,Megan Thee Stallion,Suga,2:35
33,Maniac,Conan Gray,Maniac,3:05
34,What If I Told You That I Love You,Ali Gatie,What If I Told You That I Love You,3:13
35,To Die For,Sam Smith,To Die For,3:13
36,Dance Monkey,Tones And I,Dance Monkey,3:29
37,Breaking Me,"Topic, A7S",Breaking Me,2:46
38,Life Is Good (feat. Drake),"Future, Drake",Life Is Good (feat. Drake),3:57
39,B.S. (feat. H.E.R.),"Jhené Aiko, H.E.R.",Chilombo,3:32
40,Before You Go,Lewis Capaldi,Before You Go,3:35
41,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),2:56
42,If the World Was Ending - feat. Julia Michaels,"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),3:28
43,Old Me,5 Seconds of Summer,Old Me,3:04
44,High Fashion (feat. Mustard),"Roddy Ricch, Mustard",Please Excuse Me For Being Antisocial,3:40
45,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),"Lil Yachty, DaBaby, Drake",Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),3:26
46,La Difícil,Bad Bunny,YHLQMDLG,2:43
47,Circles,Post Malone,Circles,3:34
48,Moral of the Story,Ashe,Moral of the Story,3:21
49,Never Seen The Rain,Tones And I,The Kids Are Coming,3:20
