,title,artists,album,length
0,Lose You To Love Me,Selena Gomez,Lose You To Love Me,3:26
1,Memories,Maroon 5,Memories,3:09
2,Dance Monkey,Tones and I,Dance Monkey,3:29
3,Circles,Post Malone,Circles,3:34
4,Follow God,Kanye West,JESUS IS KING,1:44
5,hot girl bummer,blackbear,hot girl bummer,3:05
6,Lights Up,Harry Styles,Lights Up,2:52
7,Trampoline (with ZAYN),"SHAED, ZAYN",Trampoline (with ZAYN),3:04
8,Good As Hell (feat. Ariana Grande) - Remix,"Lizzo, Ariana Grande",Good As Hell (feat. Ariana Grande) [Remix],2:39
9,Look At Her Now,Selena Gomez,Look At Her Now,2:42
10,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,3:02
11,Graveyard,Halsey,Graveyard,3:01
12,Liar,Camila Cabello,Liar,3:27
13,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,2:55
14,Good Thing (with Kehlani),"Zedd, Kehlani",Good Thing (with Kehlani),3:30
15,"10,000 Hours (with Justin Bieber)","Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)",2:47
16,Trigger,"Major Lazer, Khalid, Death Stranding: Timefall",Trigger,2:51
17,South of the Border (feat. Camila Cabello & Cardi B),"Ed Sheeran, Camila Cabello, Cardi B",No.6 Collaborations Project,3:24
18,Make It Right (feat. Lauv),"BTS, Lauv",Make It Right (feat. Lauv),3:46
19,Ride It,Regard,Ride It,2:37
20,How Do You Sleep?,Sam Smith,How Do You Sleep?,3:22
21,Nice To Meet Ya,Niall Horan,Nice To Meet Ya,2:38
22,Lonely (with Jonas Brothers),"Diplo, Jonas Brothers",Lonely,2:19
23,Harleys In Hawaii,Katy Perry,Harleys In Hawaii,3:05
24,Easy,Camila Cabello,Easy,3:16
25,Writing on the Wall (feat. Post Malone & Cardi B),"French Montana, Rvssian, Post Malone, Cardi B",Writing on the Wall (feat. Post Malone & Cardi B),3:21
26,Motivation,Normani,Motivation,3:13
27,Bruises,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,3:40
28,Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),3:17
29,Take What You Want (feat. Ozzy Osbourne & Travis Scott),"Post Malone, Ozzy Osbourne, Travis Scott",Hollywood's Bleeding,3:49
30,Feelings,Lauv,Feelings,3:09
31,Panini,Lil Nas X,7 EP,1:54
32,Heartless (feat. Morgan Wallen),"Diplo, Morgan Wallen",Heartless (feat. Morgan Wallen),2:49
33,Takeaway,"The Chainsmokers, ILLENIUM, Lennon Stella",World War Joy...Takeaway,3:29
34,July,Noah Cyrus,July,2:36
35,Orphans,Coldplay,Orphans / Arabesque,3:17
36,Lose Control,"MEDUZA, Becky Hill, Goodboys",Lose Control,2:48
37,Outnumbered,Dermot Kennedy,Outnumbered,4:05
38,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",3:14
39,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),"Ariana Grande, Miley Cyrus, Lana Del Rey",Don’t Call Me Angel (Charlie’s Angels),3:10
40,RITMO (Bad Boys For Life),"The Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),3:41
41,Teeth,5 Seconds of Summer,Teeth,3:24
42,I.F.L.Y.,Bazzi,I.F.L.Y.,2:45
43,Bandit (with YoungBoy Never Broke Again),"Juice WRLD, YoungBoy Never Broke Again",Bandit (with YoungBoy Never Broke Again),3:09
44,Lalala,"Y2K, bbno$",Lalala,2:40
45,It's You,Ali Gatie,It's You,3:32
46,Playing Games (with Bryson Tiller) - Extended Version,"Summer Walker, Bryson Tiller",Over It,2:23
47,What Am I,Why Don't We,What Am I,3:04
48,Be Honest (feat. Burna Boy),"Jorja Smith, Burna Boy",Be Honest (feat. Burna Boy),3:27
49,Hot (feat. Gunna),"Young Thug, Gunna",So Much Fun,3:13
