,title,artists,album,length
0,Therefore I Am,Billie Eilish,Therefore I Am,2:54
1,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",Levitating (feat. DaBaby),3:23
2,Dakiti,"Bad Bunny, Jhay Cortez",Dakiti,3:25
3,positions,Ariana Grande,positions,2:52
4,What You Know Bout Love,Pop Smoke,Shoot For The Stars Aim For The Moon,2:40
5,Mood (feat. iann dior),"24kGoldn, iann dior",Mood (feat. iann dior),2:20
6,Lonely (with benny blanco),"Justin Bieber, benny blanco",Lonely (with benny blanco),2:29
7,Put Your Records On,Ritt Momney,Put Your Records On,3:30
8,HOLIDAY,Lil Nas X,HOLIDAY,2:34
9,Lemonade,"Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)",3:15
10,Hawái - Remix,"Maluma, The Weeknd",Hawái (Remix),3:20
11,34+35,Ariana Grande,Positions,2:53
12,you broke me first,Tate McRae,you broke me first,2:49
13,Take You Dancing,Jason Derulo,Take You Dancing,3:10
14,Holy (feat. Chance The Rapper),"Justin Bieber, Chance the Rapper",Holy,3:32
15,For The Night (feat. Lil Baby & DaBaby),"Pop Smoke, Lil Baby, DaBaby",Shoot For The Stars Aim For The Moon,3:10
16,SO DONE,The Kid LAROI,SO DONE,2:06
17,Deep End,Fousheé,Deep End,2:21
18,Head & Heart (feat. MNEK),"Joel Corry, MNEK",Head & Heart (feat. MNEK),2:46
19,Laugh Now Cry Later (feat. Lil Durk),"Drake, Lil Durk",Laugh Now Cry Later (feat. Lil Durk),4:21
20,pov,Ariana Grande,Positions,3:21
21,Wonder,Shawn Mendes,Wonder,2:52
22,Dynamite,BTS,Dynamite,3:19
23,Midnight Sky,Miley Cyrus,Midnight Sky,3:43
24,my ex's best friend (with blackbear),"Machine Gun Kelly, blackbear",my ex's best friend (with blackbear),2:18
25,Paradise (feat. Dermot Kennedy),"MEDUZA, Dermot Kennedy",Paradise,2:47
26,Golden,Harry Styles,Fine Line,3:28
27,Diamonds,Sam Smith,Diamonds,3:33
28,The Business,Tiësto,The Business,2:44
29,Daisy,Ashnikko,Daisy,2:26
30,Sofia,Clairo,Immunity,3:08
31,At My Worst,Pink Sweat$,The Prelude,2:50
32,ALWAYS DO,The Kid LAROI,F*CK LOVE (SAVAGE),2:31
33,Mad at Disney,salem ilese,Mad at Disney,2:16
34,Watermelon Sugar,Harry Styles,Fine Line,2:54
35,Breaking Me,"Topic, A7S",Breaking Me,2:46
36,Se Te Nota (with Guaynaa),"Lele Pons, Guaynaa",Se Te Nota (with Guaynaa),2:35
37,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,3:01
38,Tick Tock (feat. 24kGoldn),"Clean Bandit, Mabel, 24kGoldn",Tick Tock (feat. 24kGoldn),2:58
39,Tyler Herro,Jack Harlow,Tyler Herro,2:36
40,Spicy (feat. Post Malone),"Ty Dolla $ign, Post Malone",Spicy (feat. Post Malone),2:24
41,Be Like That - feat. Swae Lee & Khalid,"Kane Brown, Swae Lee, Khalid",Be Like That (feat. Swae Lee & Khalid),3:11
42,Blueberry Eyes (feat. SUGA of BTS),"MAX, SUGA",Blueberry Eyes (feat. SUGA of BTS),2:52
43,Go Crazy,"Chris Brown, Young Thug",Slime & B,2:56
44,POPSTAR (feat. Drake),"DJ Khaled, Drake",POPSTAR (feat. Drake),3:20
45,Come & Go (with Marshmello),"Juice WRLD, Marshmello",Legends Never Die,3:25
46,WAP (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion),3:07
47,Ice Cream (with Selena Gomez),"BLACKPINK, Selena Gomez",THE ALBUM,2:55
48,Heather,Conan Gray,Kid Krow,3:18
49,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),2:51
