,title,artists,album,length
0,Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),3:17
1,bad guy (with Justin Bieber),"Billie Eilish, Justin Bieber",bad guy (with Justin Bieber),3:14
2,Señorita,"Shawn Mendes, Camila Cabello",Señorita,3:10
3,Goodbyes (Feat. Young Thug),"Post Malone, Young Thug",Goodbyes (Feat. Young Thug),2:54
4,Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus, Mason Ramsey, Young Thug",Old Town Road (Remix),2:51
5,Call You Mine (with Bebe Rexha),"The Chainsmokers, Bebe Rexha",World War Joy,3:37
6,On A Roll,Ashley O,On A Roll,2:34
7,Post Malone (feat. RANI),"Sam Feldt, RANI",Magnets EP,2:54
8,I Think I'm OKAY (with YUNGBLUD & Travis Barker),"Machine Gun Kelly, YUNGBLUD, Travis Barker",I Think I'm OKAY (with YUNGBLUD & Travis Barker),2:50
9,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,3:02
10,Antisocial (with Travis Scott),"Ed Sheeran, Travis Scott",No.6 Collaborations Project,2:41
11,Truth Hurts,Lizzo,Truth Hurts,2:53
12,Panini,Lil Nas X,7 EP,1:54
13,Find U Again (feat. Camila Cabello),"Mark Ronson, Camila Cabello",Find U Again (feat. Camila Cabello),2:56
14,Never Really Over,Katy Perry,Never Really Over,3:43
15,Only Human,Jonas Brothers,Happiness Begins,3:03
16,Don't Check On Me (feat. Justin Bieber & Ink),"Chris Brown, Justin Bieber, Ink",Don't Check On Me (feat. Justin Bieber & Ink),3:24
17,One Thing Right - feat. Kane Brown,"Marshmello, Kane Brown",One Thing Right (feat. Kane Brown),3:01
18,It's You,Ali Gatie,It's You,3:32
19,You Need To Calm Down,Taylor Swift,You Need To Calm Down,2:51
20,Money In The Grave (Drake ft. Rick Ross),"Drake, Rick Ross",The Best In The World Pack,3:25
21,Higher Love,"Kygo, Whitney Houston",Higher Love,3:48
22,Rescue Me,"Marshmello, A Day To Remember",Joytime III,3:57
23,Rodeo,"Lil Nas X, Cardi B",7 EP,2:38
24,i love you,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",4:51
25,I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber",I Don't Care (with Justin Bieber),3:39
26,Good as Hell,Lizzo,Good As Hell,2:39
27,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),"Martin Garrix, Macklemore, Fall Out Boy",Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2:43
28,Hate Me (with Juice WRLD),"Ellie Goulding, Juice WRLD",Hate Me (with Juice WRLD),3:06
29,Thing For You (With Martin Solveig),"David Guetta, Martin Solveig",Thing For You (With Martin Solveig),3:11
30,Mad Love,Mabel,Mad Love,2:49
31,gone girl,"iann dior, Trippie Redd",gone girl,2:16
32,Focus (feat. 21 Savage),"Bazzi, 21 Savage",Focus (feat. 21 Savage),2:35
33,Mother's Daughter,Miley Cyrus,SHE IS COMING,3:39
34,The Git Up,Blanco Brown,The Git Up,3:20
35,Loco Contigo (with J. Balvin & Tyga),"DJ Snake, J Balvin, Tyga",Loco Contigo (with J. Balvin & Tyga),3:05
36,Lalala,"Y2K, bbno$",Lalala,2:40
37,All Around The World (La La La),"R3HAB, A Touch Of Class",All Around The World (La La La),2:27
38,Easier,5 Seconds of Summer,Easier,2:37
39,Rescue Me,OneRepublic,Rescue Me,2:38
40,Go Loko,"YG, Tyga, Jon Z",Go Loko,4:59
41,QUE PRETENDES,"J Balvin, Bad Bunny",OASIS,3:42
42,If I Can't Have You,Shawn Mendes,If I Can't Have You,3:10
43,La La Land (feat. YG),"Bryce Vine, YG",La La Land (feat. YG),2:57
44,Sanctuary,Joji,Sanctuary,3:00
45,Ransom,Lil Tecca,Ransom,2:11
46,Ritual,"Tiësto, Jonas Blue, Rita Ora",Ritual,3:18
47,Con Calma,"Daddy Yankee, Snow",Con Calma,3:13
48,Heaven,Avicii,TIM,4:37
49,Sad Song (feat. TINI),"Alesso, TINI",Sad Song (feat. TINI),2:34
