,title,artists,album,length
0,positions,Ariana Grande,positions,2:52
1,Lemonade,"Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)",3:15
2,Holy (feat. Chance The Rapper),"Justin Bieber, Chance the Rapper",Holy,3:32
3,What You Know Bout Love,Pop Smoke,Shoot For The Stars Aim For The Moon,2:40
4,Mood (feat. iann dior),"24kGoldn, iann dior",Mood (feat. iann dior),2:20
5,you broke me first,Tate McRae,you broke me first,2:49
6,Put Your Records On,Ritt Momney,Put Your Records On,3:30
7,Head & Heart (feat. MNEK),"Joel Corry, MNEK",Head & Heart (feat. MNEK),2:46
8,Laugh Now Cry Later (feat. Lil Durk),"Drake, Lil Durk",Laugh Now Cry Later (feat. Lil Durk),4:21
9,Lonely (with benny blanco),"Justin Bieber, benny blanco",Lonely (with benny blanco),2:29
10,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",Levitating (feat. DaBaby),3:23
11,Take You Dancing,Jason Derulo,Take You Dancing,3:10
12,Wonder,Shawn Mendes,Wonder,2:52
13,For The Night (feat. Lil Baby & DaBaby),"Pop Smoke, Lil Baby, DaBaby",Shoot For The Stars Aim For The Moon,3:10
14,Dynamite,BTS,Dynamite,3:19
15,Watermelon Sugar,Harry Styles,Fine Line,2:54
16,my ex's best friend (with blackbear),"Machine Gun Kelly, blackbear",my ex's best friend (with blackbear),2:18
17,Midnight Sky,Miley Cyrus,Midnight Sky,3:43
18,Breaking Me,"Topic, A7S",Breaking Me,2:46
19,WAP (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion),3:07
20,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,3:01
21,Daisy,Ashnikko,Daisy,2:26
22,Go Crazy,"Chris Brown, Young Thug",Slime & B,2:56
23,Golden,Harry Styles,Fine Line,3:28
24,Diamonds,Sam Smith,Diamonds,3:33
25,Mad at Disney,salem ilese,Mad at Disney,2:16
26,Tick Tock (feat. 24kGoldn),"Clean Bandit, Mabel, 24kGoldn",Tick Tock (feat. 24kGoldn),2:58
27,POPSTAR (feat. Drake),"DJ Khaled, Drake",POPSTAR (feat. Drake),3:20
28,Deep End,Fousheé,Deep End,2:21
29,SO DONE,The Kid LAROI,SO DONE,2:06
30,Fake,"Lauv, Conan Gray",Fake,2:26
31,Blueberry Eyes (feat. SUGA of BTS),"MAX, SUGA",Blueberry Eyes (feat. SUGA of BTS),2:52
32,Ice Cream (with Selena Gomez),"BLACKPINK, Selena Gomez",THE ALBUM,2:55
33,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),2:51
34,Be Like That - feat. Swae Lee & Khalid,"Kane Brown, Swae Lee, Khalid",Be Like That (feat. Swae Lee & Khalid),3:11
35,At My Worst,Pink Sweat$,The Prelude,2:50
36,OK Not To Be OK,"Marshmello, Demi Lovato",OK Not To Be OK,2:39
37,Sofia,Clairo,Immunity,3:08
38,Wolves (feat. Post Malone),"Big Sean, Post Malone",Detroit 2,3:19
39,Forever After All,Luke Combs,What You See Ain't Always What You Get (Deluxe Edition),3:52
40,"Baby, I'm Jealous (feat. Doja Cat)","Bebe Rexha, Doja Cat","Baby, I'm Jealous (feat. Doja Cat)",2:55
41,Come & Go (with Marshmello),"Juice WRLD, Marshmello",Legends Never Die,3:25
42,Bet You Wanna (feat. Cardi B),"BLACKPINK, Cardi B",THE ALBUM,2:39
43,Your Man,Joji,Nectar,2:43
44,Better,ZAYN,Better,2:54
45,UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Tainy, Dua Lipa, Bad Bunny",UN DIA (ONE DAY) (Feat. Tainy),3:52
46,Kings & Queens,Ava Max,Kings & Queens,2:42
47,Heather,Conan Gray,Kid Krow,3:18
48,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
49,Me Gusta (with Cardi B & Myke Towers),"Anitta, Myke Towers, Cardi B",Me Gusta (with Cardi B & Myke Towers),3:00
