,title,artists,album,length
0,Ice Cream (with Selena Gomez),"BLACKPINK, Selena Gomez",Ice Cream (with Selena Gomez),2:55
1,Over Now (with The Weeknd),"Calvin Harris, The Weeknd",Over Now (with The Weeknd),3:30
2,WAP (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion),3:07
3,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,3:01
4,Dynamite,BTS,Dynamite,3:19
5,Watermelon Sugar,Harry Styles,Fine Line,2:54
6,Mood (feat. Iann Dior),"24kGoldn, iann dior",Mood (feat. Iann Dior),2:20
7,Breaking Me,"Topic, A7S",Breaking Me,2:46
8,Midnight Sky,Miley Cyrus,Midnight Sky,3:43
9,Laugh Now Cry Later (feat. Lil Durk),"Drake, Lil Durk",Laugh Now Cry Later (feat. Lil Durk),4:21
10,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),2:51
11,Head & Heart (feat. MNEK),"Joel Corry, MNEK",Head & Heart (feat. MNEK),2:46
12,UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Tainy, Dua Lipa, Bad Bunny",UN DIA (ONE DAY) (Feat. Tainy),3:52
13,Go Crazy,"Chris Brown, Young Thug",Slime & B,2:56
14,Smile (with The Weeknd),"Juice WRLD, The Weeknd",Legends Never Die,3:16
15,Hawái,Maluma,Hawái,3:20
16,Take You Dancing,Jason Derulo,Take You Dancing,3:10
17,you broke me first,Tate McRae,you broke me first,2:49
18,"The Plan - From the Motion Picture ""TENET""",Travis Scott,"The Plan (From the Motion Picture ""TENET"")",3:05
19,"Tap In (feat. Post Malone, DaBaby & Jack Harlow)","Saweetie, Post Malone, DaBaby, Jack Harlow","Tap In (feat. Post Malone, DaBaby & Jack Harlow)",4:13
20,Be Like That - feat. Swae Lee & Khalid,"Kane Brown, Swae Lee, Khalid",Be Like That (feat. Swae Lee & Khalid),3:11
21,Break My Heart,Dua Lipa,Break My Heart,3:41
22,Come & Go (with Marshmello),"Juice WRLD, Marshmello",Legends Never Die,3:25
23,my ex's best friend (with blackbear),"Machine Gun Kelly, blackbear",my ex's best friend (with blackbear),2:18
24,Mood Swings (feat. Lil Tjay),"Pop Smoke, Lil Tjay",Shoot For The Stars Aim For The Moon,3:33
25,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
26,Kings & Queens,Ava Max,Kings & Queens,2:42
27,Nobody's Love,Maroon 5,Nobody's Love,3:31
28,Heather,Conan Gray,Kid Krow,3:18
29,my future,Billie Eilish,my future,3:28
30,Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),2:52
31,Wishing Well,Juice WRLD,Legends Never Die,3:14
32,Lemonade,"Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)",3:15
33,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,4:09
34,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow, Tory Lanez, DaBaby, Lil Wayne","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",3:47
35,Stunnin',"Curtis Waters, Harm Franklin",Stunnin',2:24
36,"Ay, DiOs Mío!",KAROL G,"Ay, DiOs Mío!",3:09
37,Secrets,"Regard, RAYE",Secrets,2:56
38,My Oasis (feat. Burna Boy),"Sam Smith, Burna Boy",My Oasis (feat. Burna Boy),2:59
39,Still Don't Know My Name,Labrinth,Euphoria (Original Score from the HBO Series),2:33
40,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,3:48
41,The Woo (feat. 50 Cent & Roddy Ricch),"Pop Smoke, 50 Cent, Roddy Ricch",Shoot For The Stars Aim For The Moon,3:21
42,Blinding Lights,The Weeknd,Blinding Lights,3:21
43,Party Girl,StaySolidRocky,Party Girl,2:27
44,Intentions,"Justin Bieber, Quavo",Intentions,3:32
45,cardigan,Taylor Swift,folklore,3:59
46,7 Summers,Morgan Wallen,7 Summers,3:30
47,Control,Zoe Wees,Control,3:50
48,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),3:02
49,Some Say - Felix Jaehn Remix,"Nea, Felix Jaehn",Some Say (Felix Jaehn Remix),3:06
