,title,artists,album,length
0,everything i wanted,Billie Eilish,everything i wanted,4:05
1,Don't Start Now,Dua Lipa,Don't Start Now,3:03
2,Memories,Maroon 5,Memories,3:09
3,ROXANNE,Arizona Zervas,ROXANNE,2:43
4,Circles,Post Malone,Circles,3:34
5,Lose You To Love Me,Selena Gomez,Lose You To Love Me,3:26
6,Trampoline (with ZAYN),"SHAED, ZAYN",Trampoline (with ZAYN),3:04
7,Dance Monkey,Tones and I,Dance Monkey,3:29
8,hot girl bummer,blackbear,hot girl bummer,3:05
9,Lights Up,Harry Styles,Lights Up,2:52
10,Good as Hell (feat. Ariana Grande) - Remix,"Lizzo, Ariana Grande",Good as Hell (feat. Ariana Grande) [Remix],2:39
11,Look At Her Now,Selena Gomez,Look At Her Now,2:42
12,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,3:02
13,Liar,Camila Cabello,Liar,3:27
14,Bad To You (with Normani & Nicki Minaj),"Ariana Grande, Normani, Nicki Minaj",Charlie's Angels (Original Motion Picture Soundtrack),2:51
15,Graveyard,Halsey,Graveyard,3:01
16,Follow God,Kanye West,JESUS IS KING,1:44
17,Good Thing (with Kehlani),"Zedd, Kehlani",Good Thing (with Kehlani),3:30
18,South of the Border (feat. Camila Cabello & Cardi B),"Ed Sheeran, Camila Cabello, Cardi B",No.6 Collaborations Project,3:24
19,Nice To Meet Ya,Niall Horan,Nice To Meet Ya,2:38
20,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,2:55
21,Trigger,"Major Lazer, Khalid, Death Stranding: Timefall, Diplo",Trigger,2:51
22,Yellow Hearts,Ant Saunders,Yellow Hearts,3:43
23,Make It Right (feat. Lauv),"BTS, Lauv",Make It Right (feat. Lauv),3:46
24,Ride It,Regard,Ride It,2:37
25,How Do You Sleep?,Sam Smith,How Do You Sleep?,3:22
26,RITMO (Bad Boys For Life),"The Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),3:41
27,"10,000 Hours (with Justin Bieber)","Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)",2:47
28,Easy,Camila Cabello,Easy,3:14
29,Bruises,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,3:40
30,Lose Control,"MEDUZA, Becky Hill, Goodboys",Lose Control,2:48
31,Candy,Doja Cat,Amala,3:10
32,Hot (Remix) [feat. Gunna and Travis Scott],"Young Thug, Travis Scott, Gunna",Hot (Remix) [feat. Gunna and Travis Scott],4:39
33,Motivation,Normani,Motivation,3:13
34,Feelings,Lauv,Feelings,3:09
35,July,Noah Cyrus,July,2:36
36,Stuck In A Dream (feat. Gunna),"Lil Mosey, Gunna",Stuck In A Dream (feat. Gunna),2:03
37,Used To Love (with Dean Lewis),"Martin Garrix, Dean Lewis",Used To Love (with Dean Lewis),3:56
38,Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),3:17
39,If The World Was Ending (feat. Julia Michaels),"JP Saxe, Julia Michaels",If The World Was Ending (feat. Julia Michaels),3:28
40,Take What You Want (feat. Ozzy Osbourne & Travis Scott),"Post Malone, Ozzy Osbourne, Travis Scott",Hollywood's Bleeding,3:49
41,Lonely (with Jonas Brothers),"Diplo, Jonas Brothers",Lonely,2:19
42,Takeaway (feat. Lennon Stella),"The Chainsmokers, ILLENIUM, Lennon Stella",World War Joy...Takeaway,3:29
43,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",3:14
44,It's You,Ali Gatie,It's You,3:32
45,Harleys In Hawaii,Katy Perry,Harleys In Hawaii,3:05
46,Teeth,5 Seconds of Summer,Teeth,3:24
47,Bandit (with YoungBoy Never Broke Again),"Juice WRLD, YoungBoy Never Broke Again",Bandit (with YoungBoy Never Broke Again),3:09
48,Orphans,Coldplay,Orphans / Arabesque,3:17
49,What Am I,Why Don't We,What Am I,3:04
