,title,artists,album,length
0,Blinding Lights,The Weeknd,Blinding Lights,3:21
1,You should be sad,Halsey,You should be sad,3:25
2,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,3:16
3,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",3:14
4,Falling,Trevor Daniel,Falling,2:39
5,Yummy,Justin Bieber,Yummy,3:30
6,Rare,Selena Gomez,Rare,3:40
7,Life Is Good (feat. Drake),"Future, Drake",Life Is Good (feat. Drake),3:57
8,Don't Start Now,Dua Lipa,Don't Start Now,3:03
9,What A Man Gotta Do,Jonas Brothers,What A Man Gotta Do,3:00
10,ROXANNE,Arizona Zervas,ROXANNE,2:43
11,Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",Music To Be Murdered By,3:30
12,My Oh My (feat. DaBaby),"Camila Cabello, DaBaby",Romance,2:50
13,Dance Monkey,Tones and I,Dance Monkey,3:29
14,Good News,Mac Miller,Good News,5:42
15,Get Me,"Justin Bieber, Kehlani",Get Me,3:05
16,Say So,Doja Cat,Hot Pink,3:57
17,everything i wanted,Billie Eilish,everything i wanted,4:05
18,Adore You,Harry Styles,Adore You,3:27
19,Circles,Post Malone,Circles,3:34
20,Eleven,Khalid,Eleven,3:26
21,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,"Travis Scott, ROSALÍA, Lil Baby",JACKBOYS,4:04
22,What If I Told You That I Love You,Ali Gatie,What If I Told You That I Love You,3:13
23,Tusa,"KAROL G, Nicki Minaj",Tusa,3:20
24,me & ur ghost,blackbear,me & ur ghost,3:20
25,Lose You To Love Me,Selena Gomez,Lose You To Love Me,3:26
26,Watermelon Sugar,Harry Styles,Watermelon Sugar,2:54
27,Before You Go,Lewis Capaldi,Before You Go,3:35
28,Never Seen The Rain,Tones and I,The Kids Are Coming,3:20
29,If The World Was Ending (feat. Julia Michaels),"JP Saxe, Julia Michaels",If The World Was Ending (feat. Julia Michaels),3:28
30,SUGAR,BROCKHAMPTON,GINGER,3:24
31,Black Swan,BTS,Black Swan,3:18
32,Trampoline (with ZAYN),"SHAED, ZAYN",Trampoline (with ZAYN),3:04
33,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
34,Memories,Maroon 5,Memories,3:09
35,stupid,Tate McRae,stupid,2:52
36,FML,Arizona Zervas,Living Facts,3:43
37,Sunday Best,Surfaces,Where the Light Is,2:38
38,Lose Control,"MEDUZA, Becky Hill, Goodboys",Lose Control,2:48
39,Ballin' (with Roddy Ricch),"Mustard, Roddy Ricch",Perfect Ten,3:00
40,Yellow Hearts,Ant Saunders,Yellow Hearts,3:43
41,July,Noah Cyrus,July,2:36
42,"Alone, Pt. II","Alan Walker, Ava Max","Alone, Pt. II",2:59
43,No Idea,Don Toliver,No Idea,2:33
44,Maniac,Conan Gray,Maniac,3:05
45,RITMO (Bad Boys For Life),"The Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),3:41
46,Suicidal,YNW Melly,Melly vs. Melvin,3:42
47,Own It (feat. Ed Sheeran & Burna Boy),"Stormzy, Burna Boy, Ed Sheeran",Own It (feat. Ed Sheeran & Burna Boy),3:36
48,BOP,DaBaby,KIRK,2:39
49,Ayy Macarena,Tyga,Ayy Macarena,2:11
