,title,artists,album,length
0,Señorita,"Shawn Mendes, Camila Cabello",Señorita,3:10
1,How Do You Sleep?,Sam Smith,How Do You Sleep?,3:22
2,Goodbyes (Feat. Young Thug),"Post Malone, Young Thug",Goodbyes (Feat. Young Thug),2:54
3,Lover,Taylor Swift,Lover,3:41
4,Dance Monkey,Tones and I,Dance Monkey,3:29
5,Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),3:17
6,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,3:02
7,boyfriend (with Social House),"Ariana Grande, Social House",boyfriend,3:06
8,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”","Lauv, Anne-Marie","fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",3:18
9,Slide Away,Miley Cyrus,Slide Away,3:53
10,Motivation,Normani,Motivation,3:13
11,Ransom,Lil Tecca,Ransom,2:11
12,Truth Hurts,Lizzo,Truth Hurts,2:53
13,Teeth,5 Seconds of Summer,Teeth,3:24
14,The Man,Taylor Swift,Lover,3:10
15,I.F.L.Y.,Bazzi,I.F.L.Y.,2:45
16,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",3:14
17,Takeaway,"The Chainsmokers, ILLENIUM, Lennon Stella",World War Joy...Takeaway,3:29
18,Right Back (feat. A Boogie Wit Da Hoodie),"Khalid, A Boogie Wit da Hoodie",Right Back (feat. A Boogie Wit Da Hoodie),4:14
19,Loco Contigo (feat. J. Balvin & Tyga),"DJ Snake, J Balvin, Tyga",Carte Blanche,3:05
20,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),"Megan Thee Stallion, Ty Dolla $ign, Nicki Minaj",Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),3:19
21,Won't Be Late (feat. Drake),"Swae Lee, Drake",Won't Be Late (feat. Drake),3:38
22,Small Talk,Katy Perry,Small Talk,2:41
23,Lalala,"Y2K, bbno$",Lalala,2:40
24,Good As Hell,Lizzo,Good As Hell,2:39
25,It's You,Ali Gatie,It's You,3:32
26,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",China,5:01
27,No Guidance (feat. Drake),"Chris Brown, Drake",Indigo,4:20
28,Panini,Lil Nas X,7 EP,1:54
29,Bruises,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,3:40
30,Time - Edit,NF,Time,3:50
31,No Way!,Bazzi,Soul Searching,1:52
32,Post Malone (feat. RANI),"Sam Feldt, RANI",Magnets EP,2:54
33,Good Things Fall Apart (with Jon Bellion),"ILLENIUM, Jon Bellion",Good Things Fall Apart (with Jon Bellion),3:36
34,Be Honest (feat. Burna Boy),"Jorja Smith, Burna Boy",Be Honest (feat. Burna Boy),3:27
35,Love Me,Lil Tecca,Love Me,1:57
36,"Yo x Ti, Tu x Mi","ROSALÍA, Ozuna","Yo x Ti, Tu x Mi",3:21
37,One Thing Right,"Marshmello, Kane Brown",One Thing Right,3:01
38,All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",All For Us (from the HBO Original Series Euphoria),3:12
39,comethru,Jeremy Zucker,"summer,",3:01
40,You Need To Calm Down,Taylor Swift,You Need To Calm Down,2:51
41,Hate Me (with Juice WRLD),"Ellie Goulding, Juice WRLD",Hate Me (with Juice WRLD),3:06
42,Money In The Grave (Drake ft. Rick Ross),"Drake, Rick Ross",The Best In The World Pack,3:25
43,Never Really Over,Katy Perry,Never Really Over,3:43
44,Jesus In LA,Alec Benjamin,Jesus In LA,2:52
45,The Bones,Maren Morris,GIRL,3:17
46,Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",7 EP,2:37
47,Outnumbered,Dermot Kennedy,Outnumbered,4:05
48,Higher Love,"Kygo, Whitney Houston",Higher Love,3:48
49,Rescue Me,OneRepublic,Rescue Me,2:38
